CIIU ID CI1,CIIU ID CI2,CIIU ID CI3,CIIU ID CI4,CIIU label CI4,CIIU label CI1,CIIU label CI2,CIIU label CI3
A,2.0,23.0,230.0,Recolección de productos forestales diferentes a la madera,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Silvicultura y extracción de madera,Recolección de productos forestales diferentes a la madera
A,2.0,24.0,240.0,Servicios de apoyo a la silvicultura ,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Silvicultura y extracción de madera,Servicios de apoyo a la silvicultura 
A,3.0,31.0,311.0,Pesca marítima ,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Pesca y acuicultura,Pesca 
A,3.0,31.0,312.0,Pesca de agua dulce ,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Pesca y acuicultura,Pesca 
A,3.0,32.0,321.0,Acuicultura marítima ,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Pesca y acuicultura,Acuicultura 
A,3.0,32.0,322.0,Acuicultura de agua dulce,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Pesca y acuicultura,Acuicultura 
B,5.0,51.0,510.0,Extracción de hulla (carbón de piedra),ExplotaciÓn de minas y canteras,Extracción de carbón de piedra y lignito,Extracción de hulla (carbón de piedra)
B,5.0,52.0,520.0,Extracción de carbón lignito,ExplotaciÓn de minas y canteras,Extracción de carbón de piedra y lignito,Extracción de carbón lignito
B,6.0,61.0,610.0,Extracción de petróleo crudo,ExplotaciÓn de minas y canteras,Extracción de petróleo crudo y gas natural,Extracción de petróleo crudo
B,6.0,62.0,620.0,Extracción de gas natural,ExplotaciÓn de minas y canteras,Extracción de petróleo crudo y gas natural,Extracción de gas natural
B,7.0,71.0,710.0,Extracción de minerales de hierro,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales de hierro
B,7.0,72.0,721.0,Extracción de minerales de uranio y de torio,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos
B,7.0,72.0,722.0,Extracción de oro y otros metales preciosos,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos
B,7.0,72.0,723.0,Extracción de minerales de níquel,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos
B,7.0,72.0,729.0,Extracción de otros minerales metalíferos no ferrosos n.c.p.,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos
B,8.0,81.0,811.0,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares"
B,8.0,81.0,812.0,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas",ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares"
B,8.0,82.0,820.0,"Extracción de esmeraldas, piedras preciosas y semipreciosas",ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,"Extracción de esmeraldas, piedras preciosas y semipreciosas"
B,8.0,89.0,891.0,Extracción de minerales para la fabricación de abonos y productos químicos,ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,Extracción de otros minerales no metálicos n.c.p.
B,8.0,89.0,892.0,Extracción de halita (sal),ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,Extracción de otros minerales no metálicos n.c.p.
B,8.0,89.0,899.0,Extracción de otros minerales no metálicos n.c.p.,ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,Extracción de otros minerales no metálicos n.c.p.
B,9.0,91.0,910.0,Actividades de apoyo para la extracción de petróleo y de gas natural,ExplotaciÓn de minas y canteras,Actividades de servicios de apoyo para la explotación de minas ,Actividades de apoyo para la extracción de petróleo y de gas natural
B,9.0,99.0,990.0,Actividades de apoyo para otras actividades de explotación de minas y canteras,ExplotaciÓn de minas y canteras,Actividades de servicios de apoyo para la explotación de minas ,Actividades de apoyo para otras actividades de explotación de minas y canteras
C,10.0,101.0,1011.0,Procesamiento y conservación de carne y productos cárnicos,Industrias manufactureras,Elaboración de productos alimenticios,"Procesamiento y conservación de carne, pescado, crustáceos y moluscos "
C,10.0,101.0,1012.0,"Procesamiento y conservación de pescados, crustáceos y moluscos",Industrias manufactureras,Elaboración de productos alimenticios,"Procesamiento y conservación de carne, pescado, crustáceos y moluscos "
C,10.0,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",Industrias manufactureras,Elaboración de productos alimenticios,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
C,10.0,103.0,1030.0,Elaboración de aceites y grasas de origen vegetal y animal,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de aceites y grasas de origen vegetal y animal
C,10.0,104.0,1040.0,Elaboración de productos lácteos,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de productos lácteos
C,10.0,105.0,1051.0,Elaboración de productos de molinería,Industrias manufactureras,Elaboración de productos alimenticios,"Elaboración de productos de molinería, almidones y productos derivados del almidón"
C,10.0,105.0,1052.0,Elaboración de almidones y productos derivados del almidón,Industrias manufactureras,Elaboración de productos alimenticios,"Elaboración de productos de molinería, almidones y productos derivados del almidón"
C,10.0,106.0,1061.0,Trilla de café,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de productos de café
C,10.0,106.0,1062.0,"Descafeinado, tostión y molienda del café",Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de productos de café
C,10.0,106.0,1063.0,Otros derivados del café,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de productos de café
C,10.0,107.0,1071.0,Elaboración y refinación de azúcar,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de azúcar y panela
C,10.0,107.0,1072.0,Elaboración de panela,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de azúcar y panela
C,10.0,108.0,1081.0,Elaboración de productos de panadería,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de otros productos alimenticios
C,10.0,108.0,1082.0,"Elaboración de cacao, chocolate y productos de confitería",Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de otros productos alimenticios
C,10.0,108.0,1083.0,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de otros productos alimenticios
C,10.0,108.0,1084.0,Elaboración de comidas y platos preparados,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de otros productos alimenticios
C,10.0,108.0,1089.0,Elaboración de otros productos alimenticios n.c.p.,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de otros productos alimenticios
C,10.0,109.0,1090.0,Elaboración de alimentos preparados para animales,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de alimentos preparados para animales
C,11.0,110.0,1101.0,"Destilación, rectificación y mezcla de bebidas alcohólicas",Industrias manufactureras,Elaboración de bebidas,Elaboración de bebidas
C,11.0,110.0,1102.0,Elaboración de bebidas fermentadas no destiladas,Industrias manufactureras,Elaboración de bebidas,Elaboración de bebidas
C,11.0,110.0,1103.0,"Producción de malta, elaboración de cervezas y otras bebidas malteadas",Industrias manufactureras,Elaboración de bebidas,Elaboración de bebidas
C,11.0,110.0,1104.0,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas",Industrias manufactureras,Elaboración de bebidas,Elaboración de bebidas
C,12.0,120.0,1200.0,Elaboración de productos de tabaco,Industrias manufactureras,Elaboración de productos de tabaco,Elaboración de productos de tabaco
C,13.0,131.0,1311.0,Preparación e hilatura de fibras textiles,Industrias manufactureras,Fabricación de productos textiles,"Preparación, hilatura, tejeduría y acabado de productos textiles"
C,13.0,131.0,1312.0,Tejeduría de productos textiles,Industrias manufactureras,Fabricación de productos textiles,"Preparación, hilatura, tejeduría y acabado de productos textiles"
C,13.0,131.0,1313.0,Acabado de productos textiles,Industrias manufactureras,Fabricación de productos textiles,"Preparación, hilatura, tejeduría y acabado de productos textiles"
C,13.0,139.0,1391.0,Fabricación de tejidos de punto y ganchillo,Industrias manufactureras,Fabricación de productos textiles,Fabricación de otros productos textiles
C,13.0,139.0,1392.0,"Confección de artículos con materiales textiles, excepto prendas de vestir",Industrias manufactureras,Fabricación de productos textiles,Fabricación de otros productos textiles
C,13.0,139.0,1393.0,Fabricación de tapetes y alfombras para pisos,Industrias manufactureras,Fabricación de productos textiles,Fabricación de otros productos textiles
C,13.0,139.0,1394.0,"Fabricación de cuerdas, cordeles, cables, bramantes y redes",Industrias manufactureras,Fabricación de productos textiles,Fabricación de otros productos textiles
C,13.0,139.0,1399.0,Fabricación de otros artículos textiles n.c.p.,Industrias manufactureras,Fabricación de productos textiles,Fabricación de otros productos textiles
C,14.0,141.0,1410.0,"Confección de prendas de vestir, excepto prendas de piel",Industrias manufactureras,Confección de prendas de vestir,"Confección de prendas de vestir, excepto prendas de piel"
C,14.0,142.0,1420.0,Fabricación de artículos de piel,Industrias manufactureras,Confección de prendas de vestir,Fabricación de artículos de piel
C,14.0,143.0,1430.0,Fabricación de artículos de punto y ganchillo,Industrias manufactureras,Confección de prendas de vestir,Fabricación de artículos de punto y ganchillo
C,15.0,151.0,1511.0,Curtido y recurtido de cueros; recurtido y teñido de pieles,Industrias manufactureras,"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles","Curtido y recurtido de cueros; fabricación de artículos de viaje, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería, adobo y teñido de pieles"
C,15.0,151.0,1512.0,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería",Industrias manufactureras,"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles","Curtido y recurtido de cueros; fabricación de artículos de viaje, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería, adobo y teñido de pieles"
C,15.0,151.0,1513.0,"Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",Industrias manufactureras,"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles","Curtido y recurtido de cueros; fabricación de artículos de viaje, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería, adobo y teñido de pieles"
C,15.0,152.0,1521.0,"Fabricación de calzado de cuero y piel, con cualquier tipo de suela",Industrias manufactureras,"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles",Fabricación de calzado
C,15.0,152.0,1522.0,"Fabricación de otros tipos de calzado, excepto calzado de cuero y piel",Industrias manufactureras,"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles",Fabricación de calzado
C,15.0,152.0,1523.0,Fabricación de partes del calzado,Industrias manufactureras,"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles",Fabricación de calzado
C,16.0,161.0,1610.0,"Aserrado, acepillado e impregnación de la madera",Industrias manufactureras,"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería","Aserrado, acepillado e impregnación de la madera"
C,16.0,162.0,1620.0,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles",Industrias manufactureras,"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería","Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles"
C,16.0,163.0,1630.0,"Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción",Industrias manufactureras,"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
C,16.0,164.0,1640.0,Fabricación de recipientes de madera,Industrias manufactureras,"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería",Fabricación de recipientes de madera
C,16.0,169.0,1690.0,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería",Industrias manufactureras,"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería","Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería"
C,17.0,170.0,1701.0,Fabricación de pulpas (pastas) celulósicas; papel y cartón,Industrias manufactureras,"Fabricación de papel, cartón y productos de papel y cartón","Fabricación de papel, cartón y productos de papel y cartón"
C,17.0,170.0,1702.0,"Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón.",Industrias manufactureras,"Fabricación de papel, cartón y productos de papel y cartón","Fabricación de papel, cartón y productos de papel y cartón"
C,17.0,170.0,1709.0,Fabricación de otros artículos de papel y cartón,Industrias manufactureras,"Fabricación de papel, cartón y productos de papel y cartón","Fabricación de papel, cartón y productos de papel y cartón"
C,18.0,181.0,1811.0,Actividades de impresión,Industrias manufactureras,Actividades de impresión y de producción de copias a partir de grabaciones originales ,Actividades de impresión y actividades de servicios relacionados con la impresión
C,18.0,181.0,1812.0,Actividades de servicios relacionados con la impresión,Industrias manufactureras,Actividades de impresión y de producción de copias a partir de grabaciones originales ,Actividades de impresión y actividades de servicios relacionados con la impresión
C,18.0,182.0,1820.0,Producción de copias a partir de grabaciones originales ,Industrias manufactureras,Actividades de impresión y de producción de copias a partir de grabaciones originales ,Producción de copias a partir de grabaciones originales 
C,19.0,191.0,1910.0,Fabricación de productos de hornos de coque,Industrias manufactureras,"Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles ",Fabricación de productos de hornos de coque
C,19.0,192.0,1921.0,Fabricación de productos de la refinación del petróleo,Industrias manufactureras,"Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles ",Fabricación de productos de la refinación del petróleo
C,19.0,192.0,1922.0,Actividad de mezcla de combustibles,Industrias manufactureras,"Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles ",Fabricación de productos de la refinación del petróleo
C,20.0,201.0,2011.0,Fabricación de sustancias y productos químicos básicos,Industrias manufactureras,Fabricación de sustancias y productos químicos,"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias"
C,20.0,201.0,2012.0,Fabricación de abonos y compuestos inorgánicos nitrogenados,Industrias manufactureras,Fabricación de sustancias y productos químicos,"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias"
C,20.0,201.0,2013.0,Fabricación de plásticos en formas primarias,Industrias manufactureras,Fabricación de sustancias y productos químicos,"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias"
C,20.0,201.0,2014.0,Fabricación de caucho sintético en formas primarias,Industrias manufactureras,Fabricación de sustancias y productos químicos,"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias"
C,20.0,202.0,2021.0,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,Industrias manufactureras,Fabricación de sustancias y productos químicos,Fabricación de otros productos químicos
C,20.0,202.0,2022.0,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",Industrias manufactureras,Fabricación de sustancias y productos químicos,Fabricación de otros productos químicos
C,20.0,202.0,2023.0,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",Industrias manufactureras,Fabricación de sustancias y productos químicos,Fabricación de otros productos químicos
C,20.0,202.0,2029.0,Fabricación de otros productos químicos n.c.p.,Industrias manufactureras,Fabricación de sustancias y productos químicos,Fabricación de otros productos químicos
C,20.0,203.0,2030.0,Fabricación de fibras sintéticas y artificiales,Industrias manufactureras,Fabricación de sustancias y productos químicos,Fabricación de fibras sintéticas y artificiales
C,21.0,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",Industrias manufactureras,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
C,22.0,221.0,2211.0,Fabricación de llantas y neumáticos de caucho,Industrias manufactureras,Fabricación de productos de caucho y de plástico,Fabricación de productos de caucho
C,22.0,221.0,2212.0,Reencauche de llantas usadas,Industrias manufactureras,Fabricación de productos de caucho y de plástico,Fabricación de productos de caucho
C,22.0,221.0,2219.0,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,Industrias manufactureras,Fabricación de productos de caucho y de plástico,Fabricación de productos de caucho
C,22.0,222.0,2221.0,Fabricación de formas básicas de plástico,Industrias manufactureras,Fabricación de productos de caucho y de plástico,Fabricación de productos de plástico
C,22.0,222.0,2229.0,Fabricación de artículos de plástico n.c.p.,Industrias manufactureras,Fabricación de productos de caucho y de plástico,Fabricación de productos de plástico
C,23.0,231.0,2310.0,Fabricación de vidrio y productos de vidrio,Industrias manufactureras,Fabricación de otros productos minerales no metálicos,Fabricación de vidrio y productos de vidrio
C,23.0,239.0,2391.0,Fabricación de productos refractarios,Industrias manufactureras,Fabricación de otros productos minerales no metálicos,Fabricación de productos minerales no metálicos n.c.p.
C,23.0,239.0,2392.0,Fabricación de materiales de arcilla para la construcción,Industrias manufactureras,Fabricación de otros productos minerales no metálicos,Fabricación de productos minerales no metálicos n.c.p.
C,23.0,239.0,2393.0,Fabricación de otros productos de cerámica y porcelana,Industrias manufactureras,Fabricación de otros productos minerales no metálicos,Fabricación de productos minerales no metálicos n.c.p.
C,23.0,239.0,2394.0,"Fabricación de cemento, cal y yeso",Industrias manufactureras,Fabricación de otros productos minerales no metálicos,Fabricación de productos minerales no metálicos n.c.p.
C,23.0,239.0,2395.0,"Fabricación de artículos de hormigón, cemento y yeso",Industrias manufactureras,Fabricación de otros productos minerales no metálicos,Fabricación de productos minerales no metálicos n.c.p.
C,23.0,239.0,2396.0,"Corte, tallado y acabado de la piedra",Industrias manufactureras,Fabricación de otros productos minerales no metálicos,Fabricación de productos minerales no metálicos n.c.p.
C,23.0,239.0,2399.0,Fabricación de otros productos minerales no metálicos n.c.p.,Industrias manufactureras,Fabricación de otros productos minerales no metálicos,Fabricación de productos minerales no metálicos n.c.p.
C,24.0,241.0,2410.0,Industrias básicas de hierro y de acero,Industrias manufactureras,Fabricación de productos metalúrgicos básicos,Industrias básicas de hierro y de acero
C,24.0,242.0,2421.0,Industrias básicas de metales preciosos,Industrias manufactureras,Fabricación de productos metalúrgicos básicos,Industrias básicas de metales preciosos y de metales no ferrosos
C,24.0,242.0,2429.0,Industrias básicas de otros metales no ferrosos,Industrias manufactureras,Fabricación de productos metalúrgicos básicos,Industrias básicas de metales preciosos y de metales no ferrosos
C,24.0,243.0,2431.0,Fundición de hierro y de acero,Industrias manufactureras,Fabricación de productos metalúrgicos básicos,Fundición de metales
C,24.0,243.0,2432.0,Fundición de metales no ferrosos ,Industrias manufactureras,Fabricación de productos metalúrgicos básicos,Fundición de metales
C,25.0,251.0,2511.0,Fabricación de productos metálicos para uso estructural,Industrias manufactureras,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor"
C,25.0,251.0,2512.0,"Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancías",Industrias manufactureras,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor"
C,25.0,251.0,2513.0,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",Industrias manufactureras,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor"
C,25.0,252.0,2520.0,Fabricación de armas y municiones,Industrias manufactureras,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",Fabricación de armas y municiones
C,25.0,259.0,2591.0,"Forja, prensado, estampado y laminado de metal; pulvimetalurgia",Industrias manufactureras,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",Fabricación de otros productos elaborados de metal y actividades de servicios relacionadas con el trabajo de metales
C,25.0,259.0,2592.0,Tratamiento y revestimiento de metales; mecanizado,Industrias manufactureras,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",Fabricación de otros productos elaborados de metal y actividades de servicios relacionadas con el trabajo de metales
C,25.0,259.0,2593.0,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",Industrias manufactureras,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",Fabricación de otros productos elaborados de metal y actividades de servicios relacionadas con el trabajo de metales
